0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1710 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1720 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1722 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2474 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2623 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488089367153_0001
2968 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488089367153_0001
3008 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-35-205.ec2.internal:20888/proxy/application_1488089367153_0001/
3009 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488089367153_0001
13346 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 running in uber mode : false
942788 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 29%
989868 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 99% reduce 31%
990870 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 31%
997883 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 35%
998885 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 45%
999890 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 54%
1000892 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 65%
1001894 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 69%
1002895 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 72%
1003898 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 76%
1004900 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 81%
1005903 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 90%
1006905 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 93%
1008909 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 100%
1008912 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 completed successfully
1009036 [main] INFO org.apache.hadoop.mapreduce.Job  - Counters: 57
	File System Counters
		FILE: Number of bytes read=956616531
		FILE: Number of bytes written=2114078011
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=11448
		HDFS: Number of bytes written=1477593597
		HDFS: Number of read operations=269
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=38
		S3: Number of bytes read=7091143657
		S3: Number of bytes written=0
		S3: Number of read operations=0
		S3: Number of large read operations=0
		S3: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=106
		Launched reduce tasks=20
		Data-local map tasks=106
		Total time spent by all maps in occupied slots (ms)=1110087072
		Total time spent by all reduces in occupied slots (ms)=651740160
		Total time spent by all map tasks (ms)=23126814
		Total time spent by all reduce tasks (ms)=6788960
		Total vcore-milliseconds taken by all map tasks=23126814
		Total vcore-milliseconds taken by all reduce tasks=6788960
		Total megabyte-milliseconds taken by all map tasks=35522786304
		Total megabyte-milliseconds taken by all reduce tasks=20855685120
	Map-Reduce Framework
		Map input records=7012253
		Map output records=69444416
		Map output bytes=3568043708
		Map output materialized bytes=1144111555
		Input split bytes=11448
		Combine input records=69444416
		Combine output records=19501036
		Reduce input groups=3178227
		Reduce shuffle bytes=1144111555
		Reduce input records=19501036
		Reduce output records=3178227
		Spilled Records=40361541
		Shuffled Maps =2014
		Failed Shuffles=0
		Merged Map outputs=2014
		GC time elapsed (ms)=126394
		CPU time spent (ms)=12664730
		Physical memory (bytes) snapshot=92414607360
		Virtual memory (bytes) snapshot=438204628992
		Total committed heap usage (bytes)=78169767936
	PageRank$counter
		TotalPages=3178227
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=7091143657
	File Output Format Counters 
		Bytes Written=1477593597
Preprocessing completed in 1014500 ms
Starting iteration 0 for pagerank calculation
1009112 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1009369 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 19
1009442 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:19
1009477 [DataStreamer for file /tmp/hadoop-yarn/staging/hadoop/.staging/job_1488089367153_0002/job.xml] WARN org.apache.hadoop.hdfs.DFSClient  - Caught exception 
java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Thread.join(Thread.java:1249)
